Province/State,Country,Last Update,Confirmed,Suspected,Recovered,Deathss,Unnamed: 0,Deaths
Shanghai,Mainland China,2020-01-21,9.0,10.0,0.0,,,0.0
Yunnan,Mainland China,2020-01-21,1.0,0.0,0.0,,,0.0
Beijing,Mainland China,2020-01-21,10.0,0.0,0.0,,,0.0
Taiwan,Mainland China,2020-01-21,1.0,0.0,0.0,,,0.0
Jilin,Mainland China,2020-01-21,0.0,1.0,0.0,,,0.0
Sichuan,Mainland China,2020-01-21,2.0,1.0,0.0,,,0.0
Tianjin,Mainland China,2020-01-21,2.0,0.0,0.0,,,0.0
Ningxia,Mainland China,2020-01-21,0.0,1.0,0.0,,,0.0
Anhui,Mainland China,2020-01-21,0.0,3.0,0.0,,,0.0
Shandong,Mainland China,2020-01-21,1.0,0.0,0.0,,,0.0
Guangdong,Mainland China,2020-01-21,17.0,4.0,0.0,,,0.0
Guangxi,Mainland China,2020-01-21,0.0,1.0,0.0,,,0.0
Jiangxi,Mainland China,2020-01-21,2.0,0.0,0.0,,,0.0
Henan,Mainland China,2020-01-21,1.0,0.0,0.0,,,0.0
Zhejiang,Mainland China,2020-01-21,5.0,16.0,0.0,,,0.0
Hainan,Mainland China,2020-01-21,0.0,1.0,0.0,,,0.0
Hubei,Mainland China,2020-01-21,270.0,11.0,0.0,,,0.0
Hunan,Mainland China,2020-01-21,1.0,0.0,0.0,,,0.0
Guizhou,Mainland China,2020-01-21,0.0,1.0,0.0,,,0.0
Liaoning,Mainland China,2020-01-21,0.0,1.0,0.0,,,0.0
Chongqing,Mainland China,2020-01-21,5.0,0.0,0.0,,,0.0
Hong Kong,Mainland China,2020-01-21,0.0,117.0,0.0,,,0.0
Heilongjiang,Mainland China,2020-01-21,0.0,1.0,0.0,,,0.0
Unknown,Japan,2020-01-21,1.0,0.0,0.0,,,0.0
Unknown,Thailand,2020-01-21,2.0,0.0,0.0,,,0.0
Unknown,South Korea,2020-01-21,1.0,0.0,0.0,,,0.0
Washington,United States,2020-01-21,1.0,0.0,0.0,,,0.0
Anhui,Mainland China,2020-01-22,1.0,4.0,0.0,,,0.0
Beijing,Mainland China,2020-01-22,14.0,0.0,0.0,,,0.0
Chongqing,Mainland China,2020-01-22,6.0,0.0,0.0,,,0.0
Fujian,Mainland China,2020-01-22,1.0,0.0,0.0,,,0.0
Gansu,Mainland China,2020-01-22,0.0,0.0,0.0,,,0.0
Guangdong,Mainland China,2020-01-22,26.0,1.0,0.0,,,0.0
Guangxi,Mainland China,2020-01-22,2.0,1.0,0.0,,,0.0
Guizhou,Mainland China,2020-01-22,1.0,0.0,0.0,,,0.0
Hainan,Mainland China,2020-01-22,4.0,0.0,0.0,,,0.0
Hebei,Mainland China,2020-01-22,1.0,0.0,0.0,,,0.0
Heilongjiang,Mainland China,2020-01-22,0.0,1.0,0.0,,,0.0
Henan,Mainland China,2020-01-22,5.0,0.0,0.0,,,0.0
Hong Kong,Mainland China,2020-01-22,0.0,117.0,0.0,,,0.0
Hubei,Mainland China,2020-01-22,444.0,0.0,0.0,,,0.0
Hunan,Mainland China,2020-01-22,4.0,0.0,0.0,,,0.0
Inner Mongolia,Mainland China,2020-01-22,0.0,0.0,0.0,,,0.0
Jiangsu,Mainland China,2020-01-22,1.0,0.0,0.0,,,0.0
Jiangxi,Mainland China,2020-01-22,2.0,0.0,0.0,,,0.0
Jilin,Mainland China,2020-01-22,0.0,1.0,0.0,,,0.0
Liaoning,Mainland China,2020-01-22,2.0,0.0,0.0,,,0.0
Macau,Mainland China,2020-01-22,1.0,0.0,0.0,,,0.0
Ningxia,Mainland China,2020-01-22,1.0,0.0,0.0,,,0.0
Qinghai,Mainland China,2020-01-22,0.0,0.0,0.0,,,0.0
Shaanxi,Mainland China,2020-01-22,0.0,0.0,0.0,,,0.0
Shandong,Mainland China,2020-01-22,2.0,0.0,0.0,,,0.0
Shanghai,Mainland China,2020-01-22,9.0,10.0,0.0,,,0.0
Shanxi,Mainland China,2020-01-22,1.0,0.0,0.0,,,0.0
