ObservationDate,Province/State,Country/Region,Confirmed,Deaths,Recovered
2020-06-04 00:00:00,New South Wales,Australia,4019.0,51.0,3321.0
2020-06-05 00:00:00,New South Wales,Australia,4082.0,51.0,3465.0
2020-06-06 00:00:00,New South Wales,Australia,4075.0,52.0,3494.0
2020-06-07 00:00:00,New South Wales,Australia,4085.0,53.0,3493.0
2020-06-08 00:00:00,New South Wales,Australia,4121.0,53.0,3480.0
2020-06-09 00:00:00,New South Wales,Australia,4107.0,53.0,3457.0
2020-06-10 00:00:00,New South Wales,Australia,4112.0,53.0,3494.0
2020-06-04 00:00:00,Victoria,Australia,1995.0,24.0,1829.0
2020-06-05 00:00:00,Victoria,Australia,2011.0,24.0,1888.0
2020-06-06 00:00:00,Victoria,Australia,2021.0,24.0,1826.0
2020-06-07 00:00:00,Victoria,Australia,2029.0,25.0,1885.0
2020-06-08 00:00:00,Victoria,Australia,2050.0,25.0,1923.0
2020-06-09 00:00:00,Victoria,Australia,2054.0,25.0,1956.0
2020-06-10 00:00:00,Victoria,Australia,2058.0,25.0,1980.0
2020-06-04 00:00:00,Queensland,Australia,1370.0,8.0,1293.0
2020-06-05 00:00:00,Queensland,Australia,1383.0,8.0,1325.0
2020-06-06 00:00:00,Queensland,Australia,1373.0,8.0,1369.0
2020-06-07 00:00:00,Queensland,Australia,1365.0,8.0,1378.0
2020-06-08 00:00:00,Queensland,Australia,1359.0,8.0,1391.0
2020-06-09 00:00:00,Queensland,Australia,1357.0,8.0,1418.0
2020-06-10 00:00:00,Queensland,Australia,1358.0,8.0,1433.0
2020-06-04 00:00:00,South Australia,Australia,574.0,5.0,552.0
2020-06-05 00:00:00,South Australia,Australia,582.0,5.0,567.0
2020-06-06 00:00:00,South Australia,Australia,582.0,5.0,572.0
2020-06-07 00:00:00,South Australia,Australia,577.0,5.0,567.0
2020-06-08 00:00:00,South Australia,Australia,573.0,5.0,565.0
2020-06-09 00:00:00,South Australia,Australia,570.0,5.0,579.0
2020-06-10 00:00:00,South Australia,Australia,569.0,5.0,594.0
2020-03-10 00:00:00,From Diamond Princess,Australia,27.0,0.0,0.0
2020-03-11 00:00:00,From Diamond Princess,Australia,14.0,0.0,0.0
